Iteration,Step,ActorLoss,CriticLoss,Entropy,RedMeanReward,RedWinRate,RedRewardStd,WinRateRecent,RedMissiles,BlueMissiles,Episodes,RedWins,BlueWins,Draws,RedAliveMean,BlueAliveMean,RedDeathsMissile,RedDeathsCrash,BlueDeathsMissile,BlueDeathsCrash,RedMissileHits,BlueMissileHits,RedMissileHitRate,BlueMissileHitRate,KD_Red,RWR,RewardVersion,ActionStdMean,ActionStdMin,ActionStdMax,ActionLogStdMean,LaunchDiagRedGeometryOk,LaunchDiagBlueGeometryOk,LaunchDiagRedLaunches,LaunchDiagBlueLaunches,LaunchDiagRedRangeOk,LaunchDiagRedAoOk,LaunchDiagRedTaOk,LaunchDiagBlueRangeOk,LaunchDiagBlueAoOk,LaunchDiagBlueTaOk,LaunchDiagRedEngagedBlocked,LaunchDiagBlueEngagedBlocked,LaunchDiagRedCooldownBlocked,LaunchDiagBlueCooldownBlocked,LaunchDiagRedKillCooldownBlocked,LaunchDiagBlueKillCooldownBlocked,LaunchDiagRedLockMature,LaunchDiagBlueLockMature,RedGeometryToLaunchRate,BlueGeometryToLaunchRate,RedRangeToGeometryRate,BlueRangeToGeometryRate,RedLaunchRangeMean,RedLaunchRangeP25,RedLaunchRangeP50,RedLaunchRangeP75,RedLaunchAoDegMean,RedLaunchAoDegP50,RedLaunchTaDegMean,RedLaunchTaDegP50,RedLaunchClosingSpeedMean,RedLaunchAltitudeDiffAbsMean,RedLaunchHitRateFromQualityRecords,BlueLaunchRangeMean,BlueLaunchRangeP25,BlueLaunchRangeP50,BlueLaunchRangeP75,BlueLaunchAoDegMean,BlueLaunchAoDegP50,BlueLaunchTaDegMean,BlueLaunchTaDegP50,BlueLaunchClosingSpeedMean,BlueLaunchAltitudeDiffAbsMean,BlueLaunchHitRateFromQualityRecords,RedActionRawAbsMean,RedActionRawClipFrac,RedActionClampedFrac,RedActionRawClipFracPitch,RedActionRawClipFracHeading,RedActionRawClipFracVelocity
1,2000,-0.020198,14.625265,0.219245,-126.0166,0.000000,5.2423,0.000000,0.0,4.0,9,0,9,0,0.0000,3.0000,27,0,0,0,0,27,0.000000,0.586957,0.000000,0.000000,fixed_ta_alt_eq17_3dlos_v1,0.302577,0.302238,0.302949,-1.195421,0,851,0,46,155324,45620,2936,84690,73180,12909,0,71722,0,49,0,0,0,95,0.000000,0.054054,0.000000,0.010048,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4941.648124,4528.275126,4982.333374,5381.520191,24.457858,22.172662,106.048814,93.422157,204.311360,887.427652,0.743590,0.260011,0.002210,0.002210,0.002971,0.000914,0.002743
2,4000,-0.020488,12.780671,0.226446,-125.6008,0.000000,4.3682,0.000000,0.0,3.9,20,0,20,0,0.0000,3.0000,60,0,0,0,0,60,0.000000,0.689655,0.000000,0.000000,fixed_ta_alt_eq17_3dlos_v1,0.304460,0.303927,0.305095,-1.189218,0,839,0,41,142058,36421,1549,73620,59413,15371,0,68438,0,89,0,0,0,130,0.000000,0.048868,0.000000,0.011396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4782.582835,4538.022406,4867.263563,5131.385480,26.068395,23.142838,108.228934,94.393014,188.973584,911.753278,0.755556,0.261920,0.002180,0.002180,0.003270,0.000755,0.002516
3,6000,-0.024617,9.102865,0.230794,-125.1194,0.000000,4.8895,0.000000,0.0,3.9,28,0,28,0,0.0000,3.0000,83,1,0,0,0,83,0.000000,0.664000,0.000000,0.000000,fixed_ta_alt_eq17_3dlos_v1,0.305119,0.302959,0.306475,-1.187067,0,719,0,38,134355,32973,13953,69465,52559,25945,0,64890,0,18,0,0,0,56,0.000000,0.052851,0.000000,0.010351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4812.888065,4574.350196,4899.738901,5362.360117,27.638359,25.006946,111.712783,93.549175,163.732546,1074.624239,0.700000,0.261687,0.001828,0.001828,0.002991,0.000748,0.001745
4,8000,-0.020349,8.976297,0.235581,-124.7401,0.000000,5.3186,0.000000,0.0,3.9,39,0,39,0,0.0000,3.0000,115,2,0,0,0,115,0.000000,0.688623,0.000000,0.000000,fixed_ta_alt_eq17_3dlos_v1,0.307410,0.305094,0.309577,-1.179591,0,796,0,42,144407,43227,5589,80673,68199,18730,0,63734,0,22,0,0,0,64,0.000000,0.052764,0.000000,0.009867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4506.451358,4082.516699,4597.132554,5136.481971,27.255540,23.639990,106.363731,94.041974,183.503315,1064.321427,0.789474,0.261295,0.002005,0.002005,0.001925,0.001444,0.002647
5,10000,-0.020393,7.062031,0.241239,-124.0868,0.000000,5.1933,0.000000,0.0,3.9,52,0,52,0,0.0000,3.0000,154,2,0,0,0,154,0.000000,0.723005,0.000000,0.000000,fixed_ta_alt_eq17_3dlos_v1,0.308352,0.306303,0.311641,-1.176541,0,911,0,46,160258,48322,3474,87490,77104,11519,0,72768,0,69,0,0,0,115,0.000000,0.050494,0.000000,0.010413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4674.506752,4371.512760,4698.835844,5111.055050,24.980392,23.181249,103.068613,93.511798,209.050205,984.057980,0.804348,0.266759,0.002082,0.002082,0.003347,0.001562,0.001339
6,12000,-0.022185,7.884020,0.243504,-123.4195,0.000000,5.0118,0.000000,0.0,3.8,64,0,64,0,0.0000,3.0000,189,3,0,0,0,189,0.000000,0.750000,0.000000,0.000000,fixed_ta_alt_eq17_3dlos_v1,0.308913,0.306285,0.311989,-1.174726,0,699,0,39,149232,42783,6029,86076,66920,20157,0,63156,0,29,0,1,0,69,0.000000,0.055794,0.000000,0.008121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4410.822758,3967.210440,4397.559618,4953.130515,30.194965,29.232778,111.342081,94.541427,153.922892,1232.361224,0.790698,0.269183,0.003114,0.003114,0.004072,0.002156,0.003114
7,14000,-0.020771,9.094787,0.244439,-122.4507,0.000000,4.8496,0.000000,0.0,3.7,77,0,77,0,0.0000,3.0000,227,4,0,0,0,227,0.000000,0.761745,0.000000,0.000000,fixed_ta_alt_eq17_3dlos_v1,0.309057,0.306563,0.312842,-1.174267,0,930,0,46,160621,53602,5055,95088,84925,11613,0,65533,0,41,0,0,0,87,0.000000,0.049462,0.000000,0.009780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4223.806387,3568.440476,4353.227271,4761.792410,27.919812,26.199839,102.472714,93.668284,197.688272,1161.124895,0.860465,0.267412,0.002893,0.002893,0.003561,0.002003,0.003116
8,16000,-0.022032,8.928370,0.246591,-121.7643,0.000000,4.3525,0.000000,0.0,3.6,89,0,89,0,0.0000,3.0000,261,6,0,0,0,261,0.000000,0.763158,0.000000,0.000000,fixed_ta_alt_eq17_3dlos_v1,0.310288,0.305685,0.315689,-1.170341,0,756,0,44,162849,58039,6633,100102,87207,14068,0,62747,0,32,0,0,0,76,0.000000,0.058201,0.000000,0.007552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4253.059490,3949.691816,4240.661246,4825.746873,26.765191,25.318092,100.512255,93.714795,200.484302,1230.173437,0.871795,0.268061,0.003076,0.003076,0.005492,0.002417,0.001318
9,18000,-0.021789,8.812931,0.250571,-121.8633,0.000000,4.6310,0.000000,0.0,3.6,101,0,101,0,0.0000,3.0000,297,6,0,0,0,297,0.000000,0.769430,0.000000,0.000000,fixed_ta_alt_eq17_3dlos_v1,0.311426,0.307078,0.316924,-1.166678,0,762,0,44,158214,50974,6047,92486,77911,15812,0,65728,0,30,0,0,0,74,0.000000,0.057743,0.000000,0.008239,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4209.006273,3404.461059,4477.056686,4880.149524,29.093690,26.864826,106.829690,94.071073,175.324451,1264.929033,0.787234,0.271759,0.003390,0.003390,0.004972,0.003390,0.001808
10,20000,-0.025725,8.131002,0.253384,-121.4787,0.000000,4.8603,0.000000,0.0,3.6,112,0,112,0,0.0000,3.0000,329,7,0,0,0,329,0.000000,0.772300,0.000000,0.000000,fixed_ta_alt_eq17_3dlos_v1,0.311886,0.307376,0.317009,-1.165198,0,699,0,40,150989,46294,7299,87460,68888,19556,0,63529,0,14,0,0,0,54,0.000000,0.057225,0.000000,0.007992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4173.872405,3562.962153,4316.736650,4834.076424,28.617417,24.282671,107.444142,94.497041,162.833801,1354.702407,0.750000,0.274647,0.003631,0.003631,0.004973,0.002368,0.003552
