Step,Iteration,RedMeanReward,RedRewardStd,WinRateRecent,WinRateCumul,RedMissiles,BlueMissiles,Episodes,RedWins,BlueWins,Draws,RedAliveMean,BlueAliveMean,RedDeathsMissile,RedDeathsCrash,BlueDeathsMissile,BlueDeathsCrash,RedMissileHits,BlueMissileHits,RedMissileHitRate,BlueMissileHitRate,KD_Red_AllDeaths,KD_Red_MissileOnly,RWR,RWRDenominatorZero,RewardVersion,RewardMode,ObsNormalization,PIDProfile,PIDThrottleBase,MissileGuidanceMode,CheckpointSchema,ActionDistribution,AltitudeRewardConfigVersion,AltitudeRewardConfig,ActionStdMean,ActionStdMin,ActionStdMax,ActionLogStdMean,ActorLoss,CriticLoss,LatentEntropy,r_pitch,r_roll,r_alt,r_bound,r_vel,r_adv,r_end,r_death,r_pitch_team_sum,r_pitch_per_agent_mean,r_roll_team_sum,r_roll_per_agent_mean,r_alt_team_sum,r_alt_per_agent_mean,r_bound_team_sum,r_bound_per_agent_mean,r_vel_team_sum,r_vel_per_agent_mean,r_adv_team_sum,r_adv_per_agent_mean,r_end_team,LaunchDiagRedGeometryOk,LaunchDiagBlueGeometryOk,LaunchDiagRedLaunches,LaunchDiagBlueLaunches,LaunchDiagRedRangeOk,LaunchDiagRedAoOk,LaunchDiagRedTaOk,LaunchDiagBlueRangeOk,LaunchDiagBlueAoOk,LaunchDiagBlueTaOk,LaunchDiagRedEngagedBlocked,LaunchDiagBlueEngagedBlocked,LaunchDiagRedCooldownBlocked,LaunchDiagBlueCooldownBlocked,LaunchDiagRedKillCooldownBlocked,LaunchDiagBlueKillCooldownBlocked,LaunchDiagRedLockMature,LaunchDiagBlueLockMature,RedGeometryToLaunchRate,BlueGeometryToLaunchRate,RedRangeToGeometryRate,BlueRangeToGeometryRate,RedLaunchRangeMean,RedLaunchRangeP25,RedLaunchRangeP50,RedLaunchRangeP75,RedLaunchAoDegMean,RedLaunchAoDegP50,RedLaunchTaDegMean,RedLaunchTaDegP50,RedLaunchClosingSpeedMean,RedLaunchAltitudeDiffAbsMean,RedLaunchHitRateFromQualityRecords,BlueLaunchRangeMean,BlueLaunchRangeP25,BlueLaunchRangeP50,BlueLaunchRangeP75,BlueLaunchAoDegMean,BlueLaunchAoDegP50,BlueLaunchTaDegMean,BlueLaunchTaDegP50,BlueLaunchClosingSpeedMean,BlueLaunchAltitudeDiffAbsMean,BlueLaunchHitRateFromQualityRecords,RedActionAbsMean,RedActionNearBoundFrac,RedActionNearBoundFracPitch,RedActionNearBoundFracHeading,RedActionNearBoundFracVelocity
2000,1,-402.87454005650113,20.277733614531687,0.0,0.0,0.0,3.2857142857142856,14,0,14,0,0.0,3.0,42,0,0,0,0,42,0.0,0.7777777777777778,0.0,0.0,0.0,False,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.0,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",0.30175381898880005,0.30046409368515015,0.30301886796951294,-1.1981499195098877,-0.002505605830810964,3330.40283203125,0.6542481690645218,-4.419482563641459e-05,-0.001526553555220439,0.14920572441259156,0.0,0.0,-313.02215792743925,-90.0,0.0,-4.419482563641459e-05,-1.4731608545471529e-05,-0.001526553555220439,-0.0005088511850734797,0.14920572441259156,0.049735241470863854,0.0,0.0,0.0,0.0,-313.02215792743925,-104.34071930914642,-90.0,0,1286,0,54,195257,64595,0,116466,116884,1286,0,78791,0,43,0,0,0,97,0.0,0.041990668740279936,0.0,0.011041849123349304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4899.8352761382685,4492.624733219893,4934.962007972369,5356.132365531148,11.92255396203692,12.280260051040083,97.38837433858305,95.94883965666297,223.6259905123675,638.6465408015299,0.9019607843137255,0.23796859221388103,0.0,0.0,0.0,0.0
4000,2,-390.1390895843506,24.288828177171055,0.0,0.0,0.0,3.15625,32,0,32,0,0.0,3.0,96,0,0,0,0,96,0.0,0.8135593220338984,0.0,0.0,0.0,False,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.0,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",0.30519405007362366,0.30406904220581055,0.30615031719207764,-1.1868114471435547,-0.04885822739452124,3183.9222412109375,0.6792621001601219,-2.2581358995559916e-05,-0.0008099109936634333,0.16296793189709094,0.0,0.0,-300.3012207549358,-90.0,0.0,-2.2581358995559916e-05,-7.527119665186639e-06,-0.0008099109936634333,-0.00026997033122114444,0.16296793189709094,0.05432264396569698,0.0,0.0,0.0,0.0,-300.3012207549358,-100.10040691831193,-90.0,0,1402,0,64,201958,54098,0,114048,114371,1402,0,87910,0,75,0,0,0,139,0.0,0.0456490727532097,0.0,0.012293069584736251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5005.2670029457295,4629.789965333286,4993.004964236247,5466.104033318098,10.479740345345721,9.621151406429654,95.33110396684457,94.76000626245039,238.92659605580863,540.0245302983753,0.9824561403508771,0.23761464950881428,0.0,0.0,0.0,0.0
6000,3,-392.00835571289065,22.341848118540113,0.0,0.0,0.0,3.22,51,0,51,0,0.0,3.0,153,0,0,0,0,153,0.0,0.8947368421052632,0.0,0.0,0.0,False,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.0,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",0.3072248101234436,0.30676034092903137,0.3080166280269623,-1.1801772117614746,-0.02479132139123976,3072.230224609375,0.7070676505565643,-1.956009554042549e-05,-0.0005852461035759286,0.19308677272477426,0.0,0.0,-302.2008236850271,-90.0,0.0,-1.956009554042549e-05,-6.520031846808497e-06,-0.0005852461035759286,-0.00019508203452530955,0.19308677272477426,0.06436225757492475,0.0,0.0,0.0,0.0,-302.2008236850271,-100.73360789500903,-90.0,0,1298,0,53,192196,61106,0,108131,108511,1298,0,84065,0,62,0,0,0,115,0.0,0.040832049306625574,0.0,0.012003958161859226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4775.549402306863,4428.9243535361375,4789.319879778394,5196.626086858194,11.554252254925826,11.506876482487892,98.13806443058243,95.92767553922471,222.5694545764271,574.2878957893694,0.9137931034482759,0.24083874070208933,0.0,0.0,0.0,0.0
8000,4,-387.23083251953125,20.40117448034728,0.0,0.0,0.0,3.3,66,0,66,0,0.0,3.0,198,0,0,0,0,198,0.0,0.8284518828451883,0.0,0.0,0.0,False,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.0,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",0.3103536367416382,0.30857914686203003,0.3128826916217804,-1.1700602769851685,0.020435016392730175,2479.425244140625,0.7318481139838695,-1.2437624880405884e-05,-7.459413227636213e-05,0.253802265054518,0.0,0.0,-297.48453768932717,-90.0,0.0,-1.2437624880405884e-05,-4.145874960135295e-06,-7.459413227636213e-05,-2.4864710758787378e-05,0.253802265054518,0.08460075501817266,0.0,0.0,0.0,0.0,-297.48453768932717,-99.16151256310906,-90.0,0,1737,0,68,183519,46916,0,95632,95903,1751,0,87887,0,49,0,0,0,117,0.0,0.03914795624640184,0.0,0.018163376275723606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4696.3370108401805,4038.9758516733555,4870.55922702401,5215.565495483677,13.038432316968066,12.70548820019322,99.12347724507431,95.9947034005411,210.32877824696251,534.8604060927487,0.7966101694915254,0.24178811917699428,0.0,0.0,0.0,0.0
10000,5,-391.6011083984375,21.25453274261751,0.0,0.0,0.0,3.52,81,0,81,0,0.0,3.0,243,0,0,0,0,243,0.0,0.8181818181818182,0.0,0.0,0.0,False,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.0,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",0.3137825131416321,0.3112364709377289,0.3159734904766083,-1.1590746641159058,0.03534904320258647,2534.3969970703124,0.7641831450164318,-1.1311364303004261e-05,-7.459413227636213e-05,0.46081567784923083,0.0,0.0,-302.06183823362534,-90.0,0.0,-1.1311364303004261e-05,-3.770454767668087e-06,-7.459413227636213e-05,-2.4864710758787378e-05,0.46081567784923083,0.1536052259497436,0.0,0.0,0.0,0.0,-302.06183823362534,-100.68727941120845,-90.0,0,1554,0,58,180570,46062,0,95039,95282,1596,0,85531,0,33,0,0,0,91,0.0,0.03732303732303732,0.0,0.01635118214627679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4502.560797828154,4039.846849276276,4714.446170695577,4997.525874392973,13.040242636832806,11.470362064550704,99.90363563363204,95.9010354798819,201.64838902244102,558.0997232124557,0.7777777777777778,0.24450965350466894,0.0,0.0,0.0,0.0
12000,6,-391.8694799804687,21.23943848249302,0.0,0.0,0.0,3.76,97,0,97,0,0.0,3.0,291,0,0,0,0,291,0.0,0.819718309859155,0.0,0.0,0.0,False,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.0,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",0.31697380542755127,0.3153696358203888,0.31823670864105225,-1.148943305015564,0.010515714180655777,2589.1316650390627,0.795303712785244,-1.4725651743101352e-05,-1.8380024448564616e-05,0.7910238351650958,0.0,0.0,-302.6604609902538,-90.0,0.0,-1.4725651743101352e-05,-4.908550581033784e-06,-1.8380024448564616e-05,-6.126674816188205e-06,0.7910238351650958,0.2636746117216986,0.0,0.0,0.0,0.0,-302.6604609902538,-100.8868203300846,-90.0,0,1528,0,58,182966,52667,0,99472,98397,2853,0,83494,0,55,0,0,0,113,0.0,0.03795811518324607,0.0,0.015361106643075438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4553.30852175177,4185.593161750396,4695.201495530271,5092.37912223902,13.050852451671426,11.6672577881619,99.30390738938583,95.5011665319685,207.04981837155995,584.4529378699697,0.8392857142857143,0.24746929490529335,0.0,0.0,0.0,0.0
14000,7,-387.95436767578127,21.926882382678173,0.0,0.0,0.0,3.66,115,0,115,0,0.0,3.0,345,0,0,0,0,345,0.0,0.8455882352941176,0.0,0.0,0.0,False,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.0,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",0.3195669651031494,0.3179742097854614,0.3220624625682831,-1.1408040523529053,-0.02648715612012893,2606.1400390625,0.8225855477154255,-1.268938527806311e-05,-2.9980929707928835e-05,0.7921140423119983,0.0,0.0,-298.74644685475147,-90.0,0.0,-1.268938527806311e-05,-4.229795092687704e-06,-2.9980929707928835e-05,-9.993643235976279e-06,0.7921140423119983,0.26403801410399946,0.0,0.0,0.0,0.0,-298.74644685475147,-99.58214895158382,-90.0,0,1299,0,53,187698,57720,0,108989,109331,1299,0,78709,0,38,0,0,0,91,0.0,0.04080061585835258,0.0,0.011918633990586206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4697.430496927462,4167.893588673794,4837.256365657704,5268.554573367567,12.571247633351945,12.72624525562263,97.47463632706366,95.25611146548802,217.81851619280837,559.3037506109583,0.8928571428571429,0.25097518723051543,0.0,0.0,0.0,0.0
16000,8,-383.4168414306641,19.75551902378861,0.0,0.0,0.0,3.32,135,0,135,0,0.0,3.0,405,0,0,0,0,405,0.0,0.8653846153846154,0.0,0.0,0.0,False,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.0,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",0.3224433660507202,0.32040655612945557,0.32568806409835815,-1.1318535804748535,-0.08659127517603338,2696.897412109375,0.8476294629275799,-2.138158779651976e-05,-0.0005204212959642284,0.5429457790901719,0.0,0.0,-293.95924679832626,-90.0,0.0,-2.138158779651976e-05,-7.127195932173254e-06,-0.0005204212959642284,-0.00017347376532140946,0.5429457790901719,0.18098192636339064,0.0,0.0,0.0,0.0,-293.95924679832626,-97.98641559944208,-90.0,0,1231,0,60,198592,56490,0,109818,110198,1231,0,88774,0,8,0,0,0,68,0.0,0.048740861088545896,0.0,0.011209455644794114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4881.771609375686,4596.750507521299,4826.9678427827375,5287.307039374667,11.200436771768873,10.179202366793726,95.57337899238937,95.40510631324221,236.11498213134325,495.7470838948577,0.9672131147540983,0.2500533875642185,0.0,0.0,0.0,0.0
18000,9,-384.3952166748047,23.56510652939685,0.0,0.0,0.0,3.22,152,0,152,0,0.0,3.0,456,0,0,0,0,456,0.0,0.8620037807183365,0.0,0.0,0.0,False,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.0,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",0.32495424151420593,0.3220561444759369,0.32874107360839844,-1.124108076095581,-0.01646583848632872,2541.7945556640625,0.8734649427235126,-1.698951443231227e-05,-0.0005097943298368667,0.398420757443871,0.0,0.0,-294.7931046124353,-90.0,0.0,-1.698951443231227e-05,-5.663171477437423e-06,-0.0005097943298368667,-0.00016993144327895557,0.398420757443871,0.132806919147957,0.0,0.0,0.0,0.0,-294.7931046124353,-98.2643682041451,-90.0,0,1374,0,61,193477,58678,18,111190,111480,1390,0,82287,0,28,0,0,0,89,0.0,0.04439592430858806,0.0,0.012357226369277812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4644.07535325273,4221.875700289365,4721.469661120284,5281.823607199295,12.453292134933358,11.85228187810143,96.87282015724959,95.33731200470262,223.10148026199792,576.123261094041,0.8813559322033898,0.2553574061018607,0.0,0.0,0.0,0.0
20000,10,-383.66547241210935,22.929031552127185,0.0,0.0,0.0,3.24,171,0,171,0,0.0,3.0,513,0,0,0,0,513,0.0,0.8754266211604096,0.0,0.0,0.0,False,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.0,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",0.3278440833091736,0.32380494475364685,0.333013117313385,-1.1152856349945068,-0.06702370466664434,2359.7882568359373,0.8982720725238323,-0.0004420592302859264,-0.0010182137699892145,0.5128243747747167,0.0,0.0,-294.17682999570263,-90.0,0.0,-0.0004420592302859264,-0.00014735307676197546,-0.0010182137699892145,-0.00033940458999640483,0.5128243747747167,0.1709414582582389,0.0,0.0,0.0,0.0,-294.17682999570263,-98.05894333190088,-90.0,0,1239,0,57,195503,58109,0,111035,111396,1239,0,84468,0,15,0,0,0,72,0.0,0.04600484261501211,0.0,0.011158643670914577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4862.929023785044,4459.71012393649,4930.564798937803,5409.03373508872,11.806210924984239,11.467097959307383,96.19145210050397,95.3146354176539,231.9767314585678,472.9872155207272,0.9333333333333333,0.2564370063838574,0.0,0.0,0.0,0.0
