Iteration,Step,ActorLoss,CriticLoss,LatentEntropy,RedMeanReward,RedWinRate,RedRewardStd,WinRateRecent,RedMissiles,BlueMissiles,Episodes,RedWins,BlueWins,Draws,RedAliveMean,BlueAliveMean,RedDeathsMissile,RedDeathsCrash,BlueDeathsMissile,BlueDeathsCrash,RedMissileHits,BlueMissileHits,RedMissileHitRate,BlueMissileHitRate,KD_Red_AllDeaths,KD_Red_MissileOnly,RWR,RWRDenominatorZero,RewardVersion,RewardMode,ObsNormalization,PIDProfile,PIDThrottleBase,MissileGuidanceMode,CheckpointSchema,ActionDistribution,AltitudeRewardConfigVersion,AltitudeRewardConfig,r_pitch_team_sum,r_pitch_per_agent_mean,r_roll_team_sum,r_roll_per_agent_mean,r_alt_team_sum,r_alt_per_agent_mean,r_bound_team_sum,r_bound_per_agent_mean,r_vel_team_sum,r_vel_per_agent_mean,r_adv_team_sum,r_adv_per_agent_mean,r_end_team,ActionStdMean,ActionStdMin,ActionStdMax,ActionLogStdMean,LaunchDiagRedGeometryOk,LaunchDiagBlueGeometryOk,LaunchDiagRedLaunches,LaunchDiagBlueLaunches,LaunchDiagRedRangeOk,LaunchDiagRedAoOk,LaunchDiagRedTaOk,LaunchDiagBlueRangeOk,LaunchDiagBlueAoOk,LaunchDiagBlueTaOk,LaunchDiagRedEngagedBlocked,LaunchDiagBlueEngagedBlocked,LaunchDiagRedCooldownBlocked,LaunchDiagBlueCooldownBlocked,LaunchDiagRedKillCooldownBlocked,LaunchDiagBlueKillCooldownBlocked,LaunchDiagRedLockMature,LaunchDiagBlueLockMature,RedGeometryToLaunchRate,BlueGeometryToLaunchRate,RedRangeToGeometryRate,BlueRangeToGeometryRate,RedLaunchRangeMean,RedLaunchRangeP25,RedLaunchRangeP50,RedLaunchRangeP75,RedLaunchAoDegMean,RedLaunchAoDegP50,RedLaunchTaDegMean,RedLaunchTaDegP50,RedLaunchClosingSpeedMean,RedLaunchAltitudeDiffAbsMean,RedLaunchHitRateFromQualityRecords,BlueLaunchRangeMean,BlueLaunchRangeP25,BlueLaunchRangeP50,BlueLaunchRangeP75,BlueLaunchAoDegMean,BlueLaunchAoDegP50,BlueLaunchTaDegMean,BlueLaunchTaDegP50,BlueLaunchClosingSpeedMean,BlueLaunchAltitudeDiffAbsMean,BlueLaunchHitRateFromQualityRecords,RedActionAbsMean,RedActionNearBoundFrac,RedActionNearBoundFracPitch,RedActionNearBoundFracHeading,RedActionNearBoundFracVelocity
1,2000,-0.002506,3330.402832,0.654248,-402.8745,0.000000,20.2777,0.000000,0.0,3.3,14,0,14,0,0.0000,3.0000,42,0,0,0,0,42,0.000000,0.777778,0.000000,0.000000,0.000000,0,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.000000,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",-0.000044,-0.000015,-0.001527,-0.000509,0.149206,0.049735,0.000000,0.000000,0.000000,0.000000,-313.022158,-104.340719,-90.000000,0.301754,0.300464,0.303019,-1.198150,0,1286,0,54,195257,64595,0,116466,116884,1286,0,78791,0,43,0,0,0,97,0.000000,0.041991,0.000000,0.011042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4899.835276,4492.624733,4934.962008,5356.132366,11.922554,12.280260,97.388374,95.948840,223.625991,638.646541,0.901961,0.237969,0.000000,0.000000,0.000000,0.000000
2,4000,-0.048858,3183.922241,0.679262,-390.1391,0.000000,24.2888,0.000000,0.0,3.2,32,0,32,0,0.0000,3.0000,96,0,0,0,0,96,0.000000,0.813559,0.000000,0.000000,0.000000,0,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.000000,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",-0.000023,-0.000008,-0.000810,-0.000270,0.162968,0.054323,0.000000,0.000000,0.000000,0.000000,-300.301221,-100.100407,-90.000000,0.305194,0.304069,0.306150,-1.186811,0,1402,0,64,201958,54098,0,114048,114371,1402,0,87910,0,75,0,0,0,139,0.000000,0.045649,0.000000,0.012293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5005.267003,4629.789965,4993.004964,5466.104033,10.479740,9.621151,95.331104,94.760006,238.926596,540.024530,0.982456,0.237615,0.000000,0.000000,0.000000,0.000000
3,6000,-0.024791,3072.230225,0.707068,-392.0084,0.000000,22.3418,0.000000,0.0,3.2,51,0,51,0,0.0000,3.0000,153,0,0,0,0,153,0.000000,0.894737,0.000000,0.000000,0.000000,0,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.000000,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",-0.000020,-0.000007,-0.000585,-0.000195,0.193087,0.064362,0.000000,0.000000,0.000000,0.000000,-302.200824,-100.733608,-90.000000,0.307225,0.306760,0.308017,-1.180177,0,1298,0,53,192196,61106,0,108131,108511,1298,0,84065,0,62,0,0,0,115,0.000000,0.040832,0.000000,0.012004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4775.549402,4428.924354,4789.319880,5196.626087,11.554252,11.506876,98.138064,95.927676,222.569455,574.287896,0.913793,0.240839,0.000000,0.000000,0.000000,0.000000
4,8000,0.020435,2479.425244,0.731848,-387.2308,0.000000,20.4012,0.000000,0.0,3.3,66,0,66,0,0.0000,3.0000,198,0,0,0,0,198,0.000000,0.828452,0.000000,0.000000,0.000000,0,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.000000,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",-0.000012,-0.000004,-0.000075,-0.000025,0.253802,0.084601,0.000000,0.000000,0.000000,0.000000,-297.484538,-99.161513,-90.000000,0.310354,0.308579,0.312883,-1.170060,0,1737,0,68,183519,46916,0,95632,95903,1751,0,87887,0,49,0,0,0,117,0.000000,0.039148,0.000000,0.018163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4696.337011,4038.975852,4870.559227,5215.565495,13.038432,12.705488,99.123477,95.994703,210.328778,534.860406,0.796610,0.241788,0.000000,0.000000,0.000000,0.000000
5,10000,0.035349,2534.396997,0.764183,-391.6011,0.000000,21.2545,0.000000,0.0,3.5,81,0,81,0,0.0000,3.0000,243,0,0,0,0,243,0.000000,0.818182,0.000000,0.000000,0.000000,0,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.000000,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",-0.000011,-0.000004,-0.000075,-0.000025,0.460816,0.153605,0.000000,0.000000,0.000000,0.000000,-302.061838,-100.687279,-90.000000,0.313783,0.311236,0.315973,-1.159075,0,1554,0,58,180570,46062,0,95039,95282,1596,0,85531,0,33,0,0,0,91,0.000000,0.037323,0.000000,0.016351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4502.560798,4039.846849,4714.446171,4997.525874,13.040243,11.470362,99.903636,95.901035,201.648389,558.099723,0.777778,0.244510,0.000000,0.000000,0.000000,0.000000
6,12000,0.010516,2589.131665,0.795304,-391.8695,0.000000,21.2394,0.000000,0.0,3.8,97,0,97,0,0.0000,3.0000,291,0,0,0,0,291,0.000000,0.819718,0.000000,0.000000,0.000000,0,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.000000,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",-0.000015,-0.000005,-0.000018,-0.000006,0.791024,0.263675,0.000000,0.000000,0.000000,0.000000,-302.660461,-100.886820,-90.000000,0.316974,0.315370,0.318237,-1.148943,0,1528,0,58,182966,52667,0,99472,98397,2853,0,83494,0,55,0,0,0,113,0.000000,0.037958,0.000000,0.015361,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4553.308522,4185.593162,4695.201496,5092.379122,13.050852,11.667258,99.303907,95.501167,207.049818,584.452938,0.839286,0.247469,0.000000,0.000000,0.000000,0.000000
7,14000,-0.026487,2606.140039,0.822586,-387.9544,0.000000,21.9269,0.000000,0.0,3.7,115,0,115,0,0.0000,3.0000,345,0,0,0,0,345,0.000000,0.845588,0.000000,0.000000,0.000000,0,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.000000,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",-0.000013,-0.000004,-0.000030,-0.000010,0.792114,0.264038,0.000000,0.000000,0.000000,0.000000,-298.746447,-99.582149,-90.000000,0.319567,0.317974,0.322062,-1.140804,0,1299,0,53,187698,57720,0,108989,109331,1299,0,78709,0,38,0,0,0,91,0.000000,0.040801,0.000000,0.011919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4697.430497,4167.893589,4837.256366,5268.554573,12.571248,12.726245,97.474636,95.256111,217.818516,559.303751,0.892857,0.250975,0.000000,0.000000,0.000000,0.000000
8,16000,-0.086591,2696.897412,0.847629,-383.4168,0.000000,19.7555,0.000000,0.0,3.3,135,0,135,0,0.0000,3.0000,405,0,0,0,0,405,0.000000,0.865385,0.000000,0.000000,0.000000,0,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.000000,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",-0.000021,-0.000007,-0.000520,-0.000173,0.542946,0.180982,0.000000,0.000000,0.000000,0.000000,-293.959247,-97.986416,-90.000000,0.322443,0.320407,0.325688,-1.131854,0,1231,0,60,198592,56490,0,109818,110198,1231,0,88774,0,8,0,0,0,68,0.000000,0.048741,0.000000,0.011209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4881.771609,4596.750508,4826.967843,5287.307039,11.200437,10.179202,95.573379,95.405106,236.114982,495.747084,0.967213,0.250053,0.000000,0.000000,0.000000,0.000000
9,18000,-0.016466,2541.794556,0.873465,-384.3952,0.000000,23.5651,0.000000,0.0,3.2,152,0,152,0,0.0000,3.0000,456,0,0,0,0,456,0.000000,0.862004,0.000000,0.000000,0.000000,0,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.000000,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",-0.000017,-0.000006,-0.000510,-0.000170,0.398421,0.132807,0.000000,0.000000,0.000000,0.000000,-294.793105,-98.264368,-90.000000,0.324954,0.322056,0.328741,-1.124108,0,1374,0,61,193477,58678,18,111190,111480,1390,0,82287,0,28,0,0,0,89,0.000000,0.044396,0.000000,0.012357,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4644.075353,4221.875700,4721.469661,5281.823607,12.453292,11.852282,96.872820,95.337312,223.101480,576.123261,0.881356,0.255357,0.000000,0.000000,0.000000,0.000000
10,20000,-0.067024,2359.788257,0.898272,-383.6655,0.000000,22.9290,0.000000,0.0,3.2,171,0,171,0,0.0000,3.0000,513,0,0,0,0,513,0.000000,0.875427,0.000000,0.000000,0.000000,0,paper_literal_eq15_eq20_joint_v3,paper_joint,paper_fixed_v1,paper,0.000000,paper_eq9,vanilla_mappo_paper_env_v2,tanh_squashed_normal_v1,eq17_engineering_thresholds_unbounded_tail_v2,"{""d_att_max_m"":null,""h_adv_m"":5000.0,""h_att_m"":2000.0,""h_max_m"":10000.0,""h_min_m"":0.0,""high_altitude_tail"":0.1,""version"":""eq17_engineering_thresholds_unbounded_tail_v2""}",-0.000442,-0.000147,-0.001018,-0.000339,0.512824,0.170941,0.000000,0.000000,0.000000,0.000000,-294.176830,-98.058943,-90.000000,0.327844,0.323805,0.333013,-1.115286,0,1239,0,57,195503,58109,0,111035,111396,1239,0,84468,0,15,0,0,0,72,0.000000,0.046005,0.000000,0.011159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4862.929024,4459.710124,4930.564799,5409.033735,11.806211,11.467098,96.191452,95.314635,231.976731,472.987216,0.933333,0.256437,0.000000,0.000000,0.000000,0.000000
